Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Antianemic activity of polyherbal formulation, Raktavardhak Kadha, against phenylhydrazine-induced anemia in rats","Raktavardhak Kadha (RK) shows antianemic activity in rats, likely due to its iron content and ability to prevent hemolysis.","P. A. Sheth, A. Pawar, C. Mote, Chandrakant More",2021,34,"","non-randomized experimental study","Journal of Ayurveda and Integrative Medicine","2","10.1016/j.jaim.2021.02.009","https://consensus.app/papers/antianemic-activity-of-polyherbal-formulation-sheth-pawar/c9e3b2b2cbdc591497f0b44b800ce2ec/"
"Hematopoietic effect of echinochrome on phenylhydrazine-induced hemolytic anemia in rats","Echinochrome, found in sea urchin shells and spines, effectively treats phenylhydrazine-induced hemolytic anemia in rats by increasing blood cell counts and reducing inflammation.","Mona S. E. F. El-Shehry, Rafa A. Amrymi, T. Atia, B. M. M. Lotfy, Salma H A Ahmed, S. A. Qutb, S. B. Ali, A. S. Mohamed, M. R. Mousa, A. Damanhory, Mostafa E. Metawee, Hader I. Sakr",2023,7,"Background: Hemolytic anemia (HA) is a serious health condition resulting from reduced erythrocytes' average life span. Echinochrome (Ech) is a dark-red pigment found in shells and spines of sea urchins.

Aim: Studying the potential therapeutic effect of Ech on phenylhydrazine (PHZ)-induced HA in rats.

Methods: Eighteen rats were divided into three groups (n = 6): the control group, the phenylhydrazine-induced HA group and the Ech group, injected intraperitoneally with PHZ and supplemented with oral Ech daily for 6 days.

Results: Ech resulted in a considerable increase in RBCs, WBCs, and platelets counts, hemoglobin, reduced glutathione, catalase, and glutathione-S-transferase levels, and a significant decrease in aspartate & alanine aminotransferases, alkaline phosphatase, gamma-glutamyl transferase, bilirubin, creatinine, urea, urate, malondialdehyde & nitric oxide levels in anemic rats. Histopathological examination of liver and kidney tissue samples showed marked improvement.

Conclusion: Ech ameliorated phenylhydrazine-induced HA with a hepatorenal protective effect owing to its anti-inflammatory and antioxidant properties.

© 2023 El-Shehry et al.","rct","PeerJ","1","10.7717/peerj.16576","https://consensus.app/papers/hematopoietic-effect-of-echinochrome-on-el-shehry-amrymi/389bcc18d6865aa1b3ce6c09b66e716a/"
"Impact of blueberry extract on hematological response in phenylhydrazine-induced hemolytic anemia","Blueberries show a partial protective effect against inflammatory response and oxidative stress in an acute hemolytic anemia model, with lower neutrophil and lymphocyte counts and diminished interleukin-10 levels.","Daniela Drosdowski, P. Türck, Silvio Tasca, G. Rosa, E. Guzzo, S. Bianchi, A. Coitinho, C. C. Carraro, Adriane Belló-Klein, A. D. de Castro, V. Bassani, Alex Sander da Rosa Araujo",2025,1,"","rct","Hematology, Transfusion and Cell Therapy","3","10.1016/j.htct.2025.103744","https://consensus.app/papers/impact-of-blueberry-extract-on-hematological-response-in-drosdowski-t%C3%BCrck/3961ecd3f88857d68be0f4cb0ab184c8/"
"Ficus glumosa Del. reduces phenylhydrazine-induced hemolytic anaemia and hepatic damage in Wistar rats","Ficus glumosa leaves contain important antioxidants that effectively reduce hemolytic anemia and hepatic damage in rats during phenylhydrazine-induced toxicity.","A. I. Okafor, Cecilia Ushike Atsu",2022,3,"Objectives: Anemia is a direct or indirect consequence of oxidative stress via free radicals on erythrocytes and subsequently on other tissues like liver. Ficus glumosa constitute a rich pharmacologically compound that can prevent or repair oxidative damage. Therefore, this study seeks to evaluate the effect of F. glumosa on phenylhydrazine-induced hemolytic anemia and hepatic damage in rats.

Methods: Twenty-four (24) albino Wistar rats were assigned to four (4) experimental groups (n=6) as follows: Group I (non-anemic control) and Group 2 (anemic control) received normal saline, while Group III and IV (test groups) 200 and 400 mg/kg of aqueous leaf extract of F. glumosa (ALEFG), respectively. All the groups were treated orally (via a cannula) for seven consecutive days. Intraperitoneal (IP) injection of phenylhydrazine (PHZ) at 40 mg/kg for two consecutive days induced hemolytic anemia in group II to IV before treatment. Rats of all groups were anaesthetized and sacrificed 24 h after the last treatment. Blood and liver samples were collected for some hematological indices, liver function test, antioxidant parameter and histological analysis.

Results: The LD50 of ALEFG was assessed orally in rats and found to be above 5,000 mg/kg body weight. Significant (p<0.05) decreases in the level of red blood cell (RBC), hemoglobin (HGB) concentrations and packed cell volume (PCV) by 50% after 2 days of PHZ induction, were attenuated by more than 50% after 7 days administration of ALEFG at 200 and 400 mg/kg. The percentage change in body weight increased significantly (p<0.05) after 7 days post PHZ-induced anemia, but those that received oral administration of ALEFG (at 200 and 400 mg/kg) for 7 days increased significantly (p<0.05) by more than 2%, dose-dependently compared to anemic untreated group. Increased level of serum ALT, AST, ALP and GGT in PHZ-induced anemic animals, were significantly (p<0.05) attenuated in the groups that received oral administration of ALEFG (at 200 and 400 mg/kg) for 7 days. Decreased level of catalase (CAT) and superoxide dismutase (SOD) activities with concomitant increase in malondialdehyde (MDA) content from PHZ-induced untreated group, were significantly (p<0.05) mitigated in the rats that received oral administration of ALEFG (at 200 and 400 mg/kg) for 7 days. Histopathological analysis showed that ALEFG could remarkably though not completely mitigated PHZ-induced hepatic damage.

Conclusions: Our data suggests that the leaves of F. glumosa contain important antioxidant(s) that could effectively reduce hemolytic anemia and hepatic damage, especially during phenylhydrazine-induced toxicity.

© 2022 Walter de Gruyter GmbH, Berlin/Boston.","rct","Journal of Complementary and Integrative Medicine","2","10.1515/jcim-2021-0306","https://consensus.app/papers/ficus-glumosa-del-reduces-phenylhydrazineinduced-okafor-atsu/9f1443552f625699aded262e1207e24b/"
"Effects of Aloe Vera Gel on Red Blood Cell-parameters in Phenylhydrazine-induced Anaemic Wistar albino Rats","Aloe vera gel has significant erythropoietic potentials, improving red blood cell parameters in PHZ-induced anaemic rats.","Shameema Akhter, Dilruba Begum, Ishrat Jahan, Aliya Hossain Sharna, Sumaiya I. Khan, Israt Azmin",2024,0,"Background & objective: Anaemia is the most significant disorder of the blood. Many researchers have developed the concept of using medicinal plants as an alternative source of treatment for anaemia with fewer side effects. Aloe vera, being a medicinal plant, is popularly used as a natural drug in haematological disorders. The present study was intended to observe the effects of Aloe vera gel on red blood cell parameters in phenylhydrazine (PHZ)-induced anaemic Wistar albino rats.
Methods: This Experimental study was conducted in Dhaka Medical College, Dhaka from July 2021 to June 2022. A total of 24 healthy Wistar albino rats were selected for the study. After procurement, the rats were initially kept in a standard laboratory condition on a 12/12-hour light/dark cycle for 14 days of acclimatization before 21 days of the experiment. All the rats had free access to basal diet and normal saline during the period of acclimatization and experiment. After acclimatization for 14 days, the rats were divided into three groups-Group A (baseline control group, n = 8), Group B (PHZ-treated group, n = 8), and Group C, the Experimental Group (PHZ-induced and Aloe vera gel treated group, n = 8). To induce anaemia, Group B and Group C received intraperitoneal injection of PHZ at a dose of 0.5 ml/100 g body weight on days 1, 3, 5 and day 7. Moreover, the experimental group (Group C) received Aloe vera gel orally at a dose of 0.6 ml/kg body weight from Day 8 to Day 21. On day 22, rats were sacrificed to test their blood samples for haematologic variables (RBC count, Hb conc., and PCV) and haematological indices (MCV, MCH and MCHC).
Result: All the haematological parameters and indices were almost similar among the study groups at baseline (on Day 1). On Day 8, rats of groups B and C demonstrated a drastically reduced count of RBC (2.66 ± 0.53 and 2.69 ± 0.52 million/μl respectively) compared to the rats of group A (8.16 ± 0.76 million/μl). On Day 22, the RBC count in rats of Group C staggeringly increased to 7.63 ± 0.64 million/μl; however, the RBC count in rats of Group B remained almost the same as was found on Day 8. A significant decrease in Hb conc. and PCV in PHZ-induced control on Day 8 compared to that on Day 1 was also observed. The mean MCV in all the study groups on Day 1 was around 50 fl, which abnormally increased to 85 and 87 fl in Groups B and C respectively on Day 8. On Day 22, Group B further exhibited an increase in MCV to > 87 fl. Meanwhile, the MCV in Group C (Aloe vera-treated group) favourably decreased to 55 fl. On the 8th Day of intervention, the MCH level significantly decreased in Groups B and C. Although no significant change in MCH was observed in Group B from Day 8 to Day 22, group C demonstrated a significant increase in the mean MCH to nearly 18 pg during the same period. The mean MCHC significantly dropped to < 23% in Groups B and C on Day 8 from the baseline figure of 34%. While no significant change in MCHC was evident in Group B from Day 8 to Day 22, it significantly improved to about 28% in Group C during the same period.
Conclusion: From the study, it can be concluded that Aloe vera has significant erythropoietic potentials which result in the improvement of red blood cell parameters (RBC count, Hb conc., PCV, MCV, MCH and MCHC) in PHZ-induced anaemic rats.
Ibrahim Card Med J 2023; 13 (1&2): 40-46","","Ibrahim Cardiac Medical Journal","","10.3329/icmj.v13i1.73879","https://consensus.app/papers/effects-of-aloe-vera-gel-on-red-blood-cellparameters-in-akhter-begum/6cb7f29c1ff75045953156f527079912/"
"Anti-anemic Activity of Aqueous Root Bark Extract of Morinda lucida Benth against Phenylhydrazine-induced Hemolytic Anemia in Wistar Rats","Morinda lucida root bark extract effectively repairs erythrocyte damage caused by phenylhydrazine, highlighting its anti-anemic potential.","Kouassi Konan Armand Marcelin, K. Innocent, Malan Adouobo Christophe Samuel, S. Duni, N. David, D. Joseph",2025,0,"Aims: Evaluate the anti-anemic potential of aqueous root bark extract of Morinda lucida against induced hemolytic anemia in Wistar rats in addition to its total phenol content and its acute toxicity. 
Study Design: Experimental Design. 
Place and Duration of Study: Laboratory of Biology and Health, Training and Research Unit Biosciences, Félix Houphouët-Boigny University of Abidjan, June 2024 to September 2024. 
Methodology: Total phenol content of aqueous root bark extract of Morinda lucida was determined using Folin-Ciocalteu reagent. The acute toxicity test was performed according to OECD guideline no. 425. Anemia was induced in Wistar rats by intraperitoneal administration of phenylhydrazine at 40 mg/Kg bw for two days. The rats were orally treated during 21 days with 100 and 200 mg/kg bw of Morinda lucida extract and Ranferon® (anti-anemic drug) at 50 mg/kg bw. Blood was collected from all rats before and after induction of anemia, and then weekly during the treatment period to monitor changes in hematological parameters such as hemoglobin level, red blood cell count, hematocrit, mean corpuscular volume, mean corpuscular hemoglobin and mean corpuscular hemoglobin concentration. 
Results: The results show that the aqueous root bark extract of Morinda lucida contains phenolic compounds, estimated at 0.169 ± 0.015 mg gallic acid equivalent/g extract, and has low toxicity. In anti-anemic test, phenylhydrazine caused a significant reduction in hemoglobin level in rats, from 13.33 to 8.33 g/dL, with a disturbance in the other hematological parameters. After 15 days of treatment, hemoglobin levels significantly increased in rats treated with M. lucida extract at 100 mg/kg (13.27±0.26 g/dL) and Ranferon® (12.93±0.145 g/dL), comparable to normal controls (13.17±0.03 g/dL). There were also improvements in the other hematological parameters after two to three weeks treatment. 
Conclusion: These results show that Morinda lucida is effective in repairing phenylhydrazine-induced erythrocyte damage and highlight its anti-anemic potential.","non-randomized experimental study","Journal of Pharmaceutical Research International","","10.9734/jpri/2025/v37i47682","https://consensus.app/papers/antianemic-activity-of-aqueous-root-bark-extract-of-marcelin-innocent/326e7b0a60f85256832584c1b47ab557/"
"Haematinic and Hepatoprotective Properties of Telfairia occidentalis Fruit Mesocarp on Phenylhydrazine-Induced Anaemia in Experimental Rats","The aqueous extract of Telfairia occidentalis fruit mesocarp failed to reverse phenylhydrazine-induced haemolytic anaemia in experimental rats, potentially contributing to reduced Hb levels and increased serum enzyme levels.","A. Nneoyi-Egbe, E. Onyenweaku, Andyno Akpanukoh, PA Ebai",2023,5,"The level and potential of iron contained in fluted pumpkin (Telfairia occidentalis) has been exploited as a blood tonic; however, the potentials of some other parts of the plant are unknown. The effect of T. occidentalis fruit mesocarp (aqueous extract) on phenylhydrazine (PHZ)-induced anaemia in experimental rats was investigated in a bid to determine its curative properties and potential in reversing haemolytic anaemia and protection of liver health. The LD50 of the fruit extract was determined using Lorke's method for the determination of acute toxicity. The study involved oral administration of varying doses of the extract to different groups of rats which were monitored for 24 hours. The test sample did not show any signs of toxicity at doses of 5000 mg/kg b.wt, which is the highest possible recommended dose for toxicity testing. For the evaluation of the effects of the fruit extract on haematological indices and biochemical enzyme markers in anaemic rats, 30 matured albino Wistar rats were used. The rats were divided into five groups of six rats each. Group 1 consisted of normal rats (control group), Group 2 consisted of anaemic untreated rats, and Group 3 consisted of anaemic rats treated with the standard drug Astymin, while Groups 4 and 5 were made up of anaemic rats given the extract at doses of 600 mg/kg b.wt and 1000 mg/kg b.wt, respectively. The fruit extract failed to show any significant effect in improving the haemoglobin (Hb), alanine aminotransferase (ALT), aspartate aminotransferase (AST), and alkaline phosphate (ALP) levels in anaemic rats but rather may have contributed to a reduction in Hb levels and an unhealthy increase in serum enzyme levels. This is indicative of the apparent inability of the aqueous extract of the T. occidentalis fruit mesocarp to reverse PHZ-induced haemolytic anaemia and may suggest a possible detrimental effect of high doses of the extract over a prolonged period.

Copyright © 2023 Ada Francesca Nneoyi-Egbe et al.","","Biochemistry Research International","2","10.1155/2023/8838481","https://consensus.app/papers/haematinic-and-hepatoprotective-properties-of-telfairia-nneoyi-egbe-onyenweaku/5f875ddb5b2457578b600ff4921df15a/"
"Physiological response to experimentally induced anemia in rats: a comparative study.","Experimental anemia in rats leads to similar decreases in hematocrit and hemoglobin concentration, but phenylhydrazine-induced anemia shows a higher reticulocyte response and increased osmotic resistance and glucose utilization.","P. Redondo, A. Álvarez, C. Diez, F. Fernández-Rojo, J. Prieto",1995,31,"To induce anemia experimentally in rats to provide a hematocrit of 30 to 35% and provide data about the physiologic response to anemia during induction and after it is established, two methods were selected: the application of repetitive doses of phenylhydrazine and bleeding. Blood sample collection was carried out at various times, and hematologic profiles and osmotic resistance were evaluated. The morphologic features of cells and distinct organs also were examined. Results indicated similar decrease of hematocrit and hemoglobin concentration for the two experimental groups, although the reticulocyte response was higher in rats treated with phenylhydrazine, where the presence of young erythrocyte populations was linked to increases in osmotic resistance and glucose utilization. 2,3-Diphosphoglycerate was induced only during the recovery phase of the study and corresponded to a gradual response to hypoxia. Histologically, marked erythroid hyperplasia was found in the bone marrow, and extramedullary hematopoiesis was seen in the spleen and liver.","non-randomized experimental study","Laboratory animal science","","","https://consensus.app/papers/physiological-response-to-experimentally-induced-anemia-redondo-%C3%A1lvarez/41dae9e5ec43514abd19f3aff27cf44b/"
"Haematological effect of a bi-herbal composition on phenyl hydrazine-induced anaemia in Albino Wistar rats","A biherbal composition of Picralima nitida and Cymbopogon citratus significantly altered haematological parameters in albino Wistar rats treated with phenylhydrazine-induced anaemia.","P. Obazelu, U. C. Odionyenma",2024,0,"Picralima nitida and Cymbopogon citratus are plants known for their anti-inflammatory, antioxidant, and haematopoietic properties. This study aimed to determine the haematological effect of a dual herb composition of these plants on phenylhydrazine-induced anaemia in albino Wistar rats. Sixty adult male rats were divided into six groups: control, phenylhydrazine group, ferrous sulphate group, and three groups receiving phenylhydrazine plus 100 mg/kg, 200 mg/kg, and 400 mg/kg of the extract. Haematological parameters were measured using an autoanalyzer and analyzed with SPSS software V22. The red blood cell count was significantly higher in the control group compared to other groups (p<0.05). Haemoglobin was significantly higher in the control, ferrous sulphate, 100 mg/kg, and 400 mg/kg groups compared to the phenylhydrazine and 200 mg/kg groups (p<0.05). Mean cell volume was significantly lower in the control group compared to all other groups (p<0.05). Mean cell haemoglobin was significantly lower in the control group compared to other groups while MCHC was higher in the control group compared to phenylhydrazine, ferrous sulphate, 100mg/kg and 200mg/kg groups (p<0.05). RDWSD was significantly lower in the control group compared to all other groups (p<0.05). Total white blood cell count was significantly lower in the control and phenylhydrazine groups compared to others (p<0.05). Lymphocyte was significantly higher in the ferrous sulphate group compared to others, while monocyte count was significantly lower in the control, phenylhydrazine, and ferrous sulphate groups (p<0.05). Neutrophil was significantly higher in the control and phenylhydrazine groups (p<0.05). Platelet was significantly lower in the control group compared to ferrous sulphate, 200 mg/kg, and 400 mg/kg groups (p<0.05). Mean platelet volume was significantly lower in the control, phenylhydrazine, ferrous sulphate, and 100 mg/kg groups compared to the 400 mg/kg group (p<0.05). The study concludes that the biherbal formulation of the plants caused significant alterations in haematological parameters.","rct","Dutse Journal of Pure and Applied Sciences","","10.4314/dujopas.v10i3a.30","https://consensus.app/papers/haematological-effect-of-a-biherbal-composition-on-phenyl-obazelu-odionyenma/ec41429e75cb53a2a3d676eac196a40a/"
"Activities of aqueous extract of Tamarindus indica on phenylhydrazine-induced hematopathological changes in anemic male wistar rats","Aqueous extract of Tamarindus indica fruit pulp effectively stimulates hematopoiesis and significantly improves drug-induced hemolytic anemia in anemic male Wistar rats.","Cherop Patrick Stephen, Edgar Fernandez Mario, D. Sunday",2026,0,"Introduction Drug Induced Hemolytic Anemia (DIHA), following exposure to hematopathologically profound molecules, presents with variable clinical syndromes, misinterpreted serological results, misdiagnosis, challenging and controversial treatment; and no specific antihemolytic agent. Its treatment could be enhanced by use of natural molecules in some medicinal plants. Therefore, this study is aimed to determination the activities of aqueous extract of T. indica on PHZ-induced hematopathological changes in anemic male Wistar rats. Materials and Methods 60mg/kg of Phenylhydrazine (PHZ) was administered for 2 days to induce hemolytic anemia intraperitoneally. 30 male Wistar rats were randomly divided into 5 groups, each with 6 rats. G1-untreated. Anemic rats were divided into G2- G5. G2-untreated, G3-treated with 1mL Ferro B syrup, G4 and G5 treated with 400mg/kg and 800mg/kg of T. indica pulp extract respectively. Test drug and extract were orally administered daily for 7 and 14 days respectively. Cases in G2 - G5 were sacrificed under light ether anesthesia on days 9 and 16 post-therapy, G1 at the end of the experimental period. Blood collected via cardiac puncture were subjected for Red Blood Cells (RBC) histopathology, serum Lactate Dehydrogenase (LDH), and reticulocyte counts. The femur was harvested for bone marrow Histopathology. Results PHZ induced hemolytic anemia marked by profound serum LDH elevation & reticulocytosis, marked RBC morphological distortions & bone marrow degenerative changes suggestive of marrow fibrosis & suppression. Marrow regeneration marked by hypercellularity & decreased adipocytes were evident of hematopoiesis induced by the 2 weeks test therapies; significant moderate populations of normal mature peripheral RBCs, serum LDH & reticulocyte % reduction were typical; consistent with significant recovery from the acute hemolytic episode. Conclusion T. indica fruit pulp extract effectively stimulated hematopoiesis in response to drug induced hemolytic effect on the hematopathologic parameters, with significant improvement from hemolytic anemia.","rct","bioRxiv","","10.64898/2026.01.30.702729","https://consensus.app/papers/activities-of-aqueous-extract-of-tamarindus-indica-on-stephen-mario/da3f3c9719705bb0a9e59cd948b09c77/"
